release_year,duration
1942,35.0
1943,62.666666666666664
1944,52.0
1945,51.333333333333336
1946,76.0
1947,42.0
1954,120.0
1955,111.0
1956,98.0
1958,111.5
1959,143.0
1960,143.5
1962,167.0
1964,228.0
1965,151.5
1966,116.0
1967,91.5
1968,149.66666666666666
1969,140.0
1970,66.0
1971,132.0
1972,110.33333333333333
1973,108.66666666666667
1974,110.14285714285714
1975,110.0
1976,119.85714285714286
1977,132.25
1978,100.42857142857143
1979,115.0
1980,122.42857142857143
1981,109.66666666666667
1982,114.81818181818181
1983,113.88888888888889
1984,115.125
1985,109.14285714285714
1986,107.75
1987,89.8
1988,101.18181818181819
1989,113.5
1990,101.08333333333333
1991,84.85714285714286
1992,103.71428571428571
1993,116.6875
1994,124.92307692307692
1995,116.93333333333334
1996,119.85714285714286
1997,116.66666666666667
1998,101.95652173913044
1999,122.0
2000,112.21428571428571
2001,116.2
2002,120.65714285714286
2003,116.82857142857142
2004,119.25
2005,112.07843137254902
2006,111.57627118644068
2007,110.63333333333334
2008,106.44827586206897
2009,108.44827586206897
2010,103.3963963963964
2011,102.78
2012,100.056
2013,98.0677966101695
2014,99.54460093896714
2015,99.02203856749311
2016,94.34569983136593
2017,94.6158357771261
2018,95.77554179566563
2019,90.6275
2020,103.5
